Name,Link,playerID
Jimmy Hallinan,https://www.baseball-reference.com/players/h/halliji01.shtml,halliji01
William Johnson,https://www.baseball-reference.com/players/j/johnsca01.shtml,johnsca01
Ralph Ham,https://www.baseball-reference.com/players/h/hamra01.shtml,hamra01
Tom Patterson,https://www.baseball-reference.com/players/p/patteda01.shtml,patteda01
George Zettlein,https://www.baseball-reference.com/players/z/zettlge01.shtml,zettlge01
Wally Goldsmith,https://www.baseball-reference.com/players/g/goldswa01.shtml,goldswa01
Gene Kimball,https://www.baseball-reference.com/players/k/kimbage01.shtml,kimbage01
Frank Barrows,https://www.baseball-reference.com/players/b/barrofr01.shtml,barrofr01
Nat Hicks,https://www.baseball-reference.com/players/h/hicksna01.shtml,hicksna01
Tim Murnane,https://www.baseball-reference.com/players/m/murnati01.shtml,murnati01
John Clapp,https://www.baseball-reference.com/players/c/clappjo01.shtml,clappjo01
Bill Boyd,https://www.baseball-reference.com/players/b/boydbi01.shtml,boydbi01
Fraley Rogers,https://www.baseball-reference.com/players/r/rogerfr01.shtml,rogerfr01
Jim Snyder,https://www.baseball-reference.com/players/s/snydeji02.shtml,snydeji02
Count Gedney,https://www.baseball-reference.com/players/g/gedneco01.shtml,gedneco01
Candy Nelson,https://www.baseball-reference.com/players/n/nelsoca01.shtml,nelsoca01
Ham Allen,https://www.baseball-reference.com/players/a/allenha01.shtml,allenha01
Tom Barlow,https://www.baseball-reference.com/players/b/barloto01.shtml,barloto01
Jim Holdsworth,https://www.baseball-reference.com/players/h/holdsji01.shtml,holdsji01
Frank McCarton,https://www.baseball-reference.com/players/m/mccarfr01.shtml,mccarfr01
Jim O'Rourke,https://www.baseball-reference.com/players/o/o'rouji01.shtml,o'rouji01
William Bestick,https://www.baseball-reference.com/players/b/besti01.shtml,besti01
Eddie Booth,https://www.baseball-reference.com/players/b/boothed01.shtml,boothed01
Martin Malone,https://www.baseball-reference.com/players/m/malonma01.shtml,malonma01
Billy Arnold,https://www.baseball-reference.com/players/a/arnolbi01.shtml,arnolbi01
Denny Clare,https://www.baseball-reference.com/players/c/clarede01.shtml,clarede01
Herm Doscher,https://www.baseball-reference.com/players/d/doschhe01.shtml,doschhe01
George Fletcher,https://www.baseball-reference.com/players/f/fletcge01.shtml,fletcge01
Dick Hunt,https://www.baseball-reference.com/players/h/huntdi01.shtml,huntdi01
Nat Jewett,https://www.baseball-reference.com/players/j/jewetna01.shtml,jewetna01
James Cavanagh,https://www.baseball-reference.com/players/k/kavan01.shtml,kavan01
Phonney Martin,https://www.baseball-reference.com/players/m/martiph01.shtml,martiph01
Joe Miller,https://www.baseball-reference.com/players/m/millejo02.shtml,millejo02
Bob Reach,https://www.baseball-reference.com/players/r/reachbo01.shtml,reachbo01
Herb Worth,https://www.baseball-reference.com/players/w/worthhe01.shtml,worthhe01
Bill Allison,https://www.baseball-reference.com/players/a/allisbi01.shtml,allisbi01
Cy Bentley,https://www.baseball-reference.com/players/b/bentlcy01.shtml,bentlcy01
Dennis Coughlin,https://www.baseball-reference.com/players/c/coughde01.shtml,coughde01
John Galvin,https://www.baseball-reference.com/players/g/galvijo01.shtml,galvijo01
Jim Hall,https://www.baseball-reference.com/players/h/hallji01.shtml,hallji01
Higby,https://www.baseball-reference.com/players/h/higby01.shtml,higby01
Dick Hurley,https://www.baseball-reference.com/players/h/hurledi01.shtml,hurledi01
David Lenz,https://www.baseball-reference.com/players/l/leutz01.shtml,leutz01
Al Martin,https://www.baseball-reference.com/players/m/martial03.shtml,martial03
Martin Mullen,https://www.baseball-reference.com/players/m/mulle01.shtml,mulle01
O'Rourke,https://www.baseball-reference.com/players/o/o'rou01.shtml,o'rou01
Spencer,https://www.baseball-reference.com/players/s/spenc01.shtml,spenc01
Marty Swandell,https://www.baseball-reference.com/players/s/swandma01.shtml,swandma01
Al Thake,https://www.baseball-reference.com/players/t/thakeal01.shtml,thakeal01
Bill Yeatman,https://www.baseball-reference.com/players/y/yeatmbi01.shtml,yeatmbi01
John Barrett,https://www.baseball-reference.com/players/b/barre01.shtml,barre01
Jim Britt,https://www.baseball-reference.com/players/b/brittji01.shtml,brittji01
Oliver Brown,https://www.baseball-reference.com/players/b/brownol01.shtml,brownol01
Holly Hollingshead,https://www.baseball-reference.com/players/h/holliho01.shtml,holliho01
Val Robinson,https://www.baseball-reference.com/players/r/robinva01.shtml,robinva01
Josh Snyder,https://www.baseball-reference.com/players/s/snydejo01.shtml,snydejo01
Jim Tipper,https://www.baseball-reference.com/players/t/tippeji01.shtml,tippeji01
Jim Clinton,https://www.baseball-reference.com/players/c/clintji01.shtml,clintji01
Jack McDonald,https://www.baseball-reference.com/players/m/mcdonja01.shtml,mcdonja01
Frank Buttery,https://www.baseball-reference.com/players/b/buttefr01.shtml,buttefr01
Jacob Doyle,https://www.baseball-reference.com/players/d/doylejo01.shtml,doylejo01
Paul Hines,https://www.baseball-reference.com/players/h/hinespa01.shtml,hinespa01
Charlie Lowe,https://www.baseball-reference.com/players/l/lowech01.shtml,lowech01
Jack Remsen,https://www.baseball-reference.com/players/r/remseja01.shtml,remseja01
